target_word,freq,LenChar,VowConRatio,label
هلنیستی,169,7.0,1.0,0
پوراحمدنژاد,262,11.0,0.71,0
مهم‌ترینش,139,9.0,0.71,0
دریوزگی,209,7.0,1.0,0
اجساد,15536,5.0,0.33,0
الواحد,1066,6.0,1.0,0
باهمکاری,800,8.0,0.8,0
گوهر,9599,4.0,0.5,0
السنوی,1054,6.0,0.6,0
نیاوری,125,6.0,1.0,0
کلمب,931,4.0,0.5,0
والاعلامی,155,9.0,1.0,0
فرانز,217,5.0,0.75,0
ابوهریره,162,8.0,0.8,0
فرعیات,147,6.0,0.75,0
سیاق,5914,4.0,1.0,0
خیرخواهی,1909,8.0,0.8,0
والتقی,327,6.0,0.75,0
آفریقا,96952,6.0,1.0,0
میرامینی,382,8.0,1.0,0
فیلر,174,4.0,0.33,0
تنته,143,4.0,0.67,0
قابل‌مقایسه,9689,11.0,0.83,0
زناکار,265,6.0,0.75,0
فادح,379,4.0,1.0,0
بریزه,123,5.0,1.0,0
قران,7276,4.0,0.67,0
انتگرال,1514,7.0,0.5,0
تامارا,176,6.0,1.0,0
نهشت#نه,6145,3.0,0.29,0
مفتوحا,205,6.0,0.75,0
نت‌ها,1007,5.0,1.0,0
بوردو,1097,5.0,0.67,0
رشیده,167,5.0,1.0,0
وجل,329,3.0,0.4,0
نساخته,398,6.0,0.75,0
اثابت,110,5.0,0.75,0
شاهنامه‌خوانی,671,13.0,0.86,0
رودک,217,4.0,0.67,0
ان‌پی‌تی,610,8.0,0.67,0
صیدون,810,5.0,0.67,0
الاطراف,1172,7.0,0.8,0
علو,3509,3.0,1.0,0
انسان‌دوستانه,1173,13.0,0.75,0
روناس,370,5.0,0.67,0
خداناباور,137,9.0,0.67,0
درآمد‌زایی,140,10.0,1.0,0
دستان‌تان,119,9.0,0.67,0
سوازیلند,851,8.0,0.8,0
قوسین,166,5.0,0.67,0
لاجل,262,4.0,0.4,0
لپ,7983,2.0,0.5,0
مهدیخانی,117,8.0,0.8,0
تستهای,1199,6.0,0.75,0
آسیب,223850,4.0,0.67,0
ریزه‌خوار,270,9.0,1.0,0
اجاره‌بها,21181,9.0,0.5,0
زمین‌گیر,5221,8.0,0.67,0
ااین,108,4.0,0.2,0
بحق,6157,3.0,0.33,0
الهیئ,1757,5.0,0.5,0
مردمانی,3144,7.0,0.8,0
مصاحب,693,5.0,0.75,0
تقی‌زاده,2172,8.0,1.25,0
غارت‌شده,471,8.0,0.67,0
عادی,118440,4.0,1.0,0
بدرستی,2390,6.0,0.5,0
باج‌گیری,1040,8.0,1.0,0
استشهدوا,198,8.0,0.67,0
غیرانگلیسی‌زبان,219,15.0,1.17,0
اسپیلبرگ,2154,8.0,0.43,0
صلح‌طلبانه,142,10.0,0.71,0
غیرتورمی,3271,8.0,0.8,0
فرسوده‌شدن,375,10.0,0.71,0
کماندویی,387,8.0,0.83,0
ساندا,453,5.0,0.67,0
تضامنا,377,6.0,0.75,0
آراستگی,1671,7.0,0.8,0
کثیف,13095,4.0,0.67,0
کالای‌های,127,9.0,0.67,0
سپردهشد,9741,7.0,0.8,0
سوسیس,8106,5.0,0.5,0
گو‌ها,302,5.0,1.5,0
میلی‌آمپرساعتی,230,14.0,1.0,0
مبتکر,3802,5.0,0.6,0
بارنی,362,5.0,0.67,0
أسفر,716,4.0,0.5,0
کاپیتان,37246,7.0,0.75,0
بطرز,181,4.0,0.5,0
میپل,116,4.0,0.67,0
لوح,27759,3.0,0.33,0
عوارض,100364,5.0,0.75,0
خوش‌آهنگ,157,8.0,1.0,0
أشع,122,3.0,0.33,0
فیدیو,12267,5.0,1.0,0
دانمارک,21886,7.0,0.6,0
تعزی,158,4.0,0.67,0
نامبردار,118,8.0,0.67,0
حققنا,101,5.0,1.33,0
اسپیس‌ایکس,312,10.0,0.67,0
پهن‌شده,693,7.0,0.67,0
زارچ,450,4.0,0.25,0
امحا,5585,4.0,1.0,0
صفر,138577,3.0,0.67,0
سهام,375962,4.0,0.67,0
تخلفات,81986,6.0,0.6,0
بلاموضوع,259,8.0,0.8,0
بی‌قاعدگی,160,9.0,0.67,0
عزا,9837,3.0,1.0,0
استف,262,4.0,0.5,0
گرته‌برداری,368,11.0,0.75,0
آنانند,195,6.0,0.8,0
روزجاری,1102,7.0,0.6,0
نورو,283,4.0,0.67,0
کبود,6337,4.0,0.67,0
شاتوت,572,5.0,0.67,0
خوشمزه,8565,6.0,0.6,0
